Device ID,EDOP3_C10R8,,
Flags,,,
Remarks,,,
VG,IDS,IG,VDS
3.889,1.57069E-06,6E-14,0.1
4,1.61334E-06,5.2E-14,0.1
4.111,1.65629E-06,4.6E-14,0.1
4.222,1.69959E-06,4.7E-14,0.1
4.333,1.74342E-06,5.5E-14,0.1
4.444,1.78738E-06,9.6E-14,0.1
4.556,1.83192E-06,4.9E-14,0.1
4.667,1.87636E-06,6.1E-14,0.1
4.778,1.92109E-06,5.5E-14,0.1
4.889,1.96607E-06,5.8E-14,0.1
5,2.01136E-06,7.8E-14,0.1
5.111,2.05678E-06,9.9E-14,0.1
5.222,2.10221E-06,8.1E-14,0.1
5.333,2.14766E-06,6.9E-14,0.1
5.444,2.19357E-06,6.5E-14,0.1
5.556,2.23971E-06,8E-14,0.1
5.667,2.28539E-06,7.1E-14,0.1
5.778,2.33138E-06,8E-14,0.1
5.889,2.37694E-06,8.7E-14,0.1
6,2.42276E-06,6.9E-14,0.1
6.111,2.46868E-06,9.7E-14,0.1
6.222,2.51415E-06,9.3E-14,0.1
6.333,2.56024E-06,8.9E-14,0.1
6.444,2.60613E-06,8.4E-14,0.1
6.556,2.65221E-06,8.1E-14,0.1
6.667,2.69816E-06,1.03E-13,0.1
6.778,2.7433E-06,1.09E-13,0.1
6.889,2.78831E-06,6.7E-14,0.1
7,2.83324E-06,9.3E-14,0.1
7.111,2.8782E-06,8.8E-14,0.1
7.222,2.92284E-06,8.6E-14,0.1
7.333,2.96754E-06,1.02E-13,0.1
7.444,0.000003012,1.16E-13,0.1
7.556,3.0566E-06,1.26E-13,0.1
7.667,3.10046E-06,1.27E-13,0.1
7.778,3.14421E-06,1.28E-13,0.1
7.889,0.000003187,1.2E-13,0.1
8,3.23058E-06,1.19E-13,0.1
8.111,3.27339E-06,1.46E-13,0.1
8.222,3.31573E-06,1.28E-13,0.1
8.333,0.000003358,1.53E-13,0.1
8.444,3.40007E-06,1.4E-13,0.1
8.556,3.44179E-06,1.58E-13,0.1
8.667,3.48254E-06,1.34E-13,0.1
8.778,3.52357E-06,1.41E-13,0.1
8.889,3.56369E-06,1.67E-13,0.1
9,3.60339E-06,1.62E-13,0.1
9.111,3.64273E-06,1.4E-13,0.1
9.222,3.68178E-06,1.86E-13,0.1
9.333,3.72023E-06,1.47E-13,0.1
9.444,3.75819E-06,1.94E-13,0.1
9.556,3.79639E-06,1.85E-13,0.1
9.667,3.83274E-06,1.83E-13,0.1
9.778,3.86914E-06,1.99E-13,0.1
9.889,3.9048E-06,1.96E-13,0.1
10,3.94047E-06,2.02E-13,0.1
Device ID,EDOP3_C4R8,,
Flags,,,
Remarks,,,
VG,IDS,IG,VDS
-10,1.86583E-10,-6.27E-13,0.1
-9.889,2.28929E-10,-3.4E-13,0.1
-9.778,2.67438E-10,-2.24E-13,0.1
-9.667,3.0907E-10,-1.78E-13,0.1
-9.556,3.55754E-10,-1.34E-13,0.1
-9.444,4.08995E-10,-9.2E-14,0.1
-9.333,4.68232E-10,-9.9E-14,0.1
-9.222,5.35391E-10,-6.6E-14,0.1
-9.111,6.10933E-10,-5.3E-14,0.1
-9,6.96287E-10,-5.1E-14,0.1
-8.889,7.92553E-10,-3.5E-14,0.1
-8.778,9.01208E-10,-2.4E-14,0.1
-8.667,0.000000001,-1.5E-14,0.1
-8.556,1.15559E-09,-3.6E-14,0.1
-8.444,1.32029E-09,1.8E-14,0.1
-8.333,1.49796E-09,2.6E-14,0.1
-8.222,1.69828E-09,-1E-15,0.1
-8.111,1.92168E-09,2.4E-14,0.1
-8,2.16654E-09,2.4E-14,0.1
-7.889,2.44101E-09,-6E-15,0.1
-7.778,2.75012E-09,3.1E-14,0.1
-7.667,3.09281E-09,1.6E-14,0.1
-7.556,3.47024E-09,3.4E-14,0.1
-7.444,3.90474E-09,1.4E-14,0.1
-7.333,4.3731E-09,9E-15,0.1
-7.222,4.89447E-09,1.7E-14,0.1
-7.111,5.47932E-09,1.09E-13,0.1
-7,6.11563E-09,4.8E-14,0.1
-6.889,6.81899E-09,-2.2E-14,0.1
-6.778,7.59317E-09,-3.5E-14,0.1
-6.667,8.45522E-09,3.3E-14,0.1
-6.556,9.39879E-09,3E-14,0.1
-6.444,1.043578E-08,4E-14,0.1
-6.333,1.15407E-08,3.4E-14,0.1
-6.222,1.27986E-08,2.5E-14,0.1
-6.111,1.41744E-08,1.2E-14,0.1
-6,1.56617E-08,-1.4E-13,0.1
-5.889,1.7288E-08,5.4E-14,0.1
-5.778,1.90666E-08,1.33E-13,0.1
-5.667,0.000000021,2.7E-14,0.1
-5.556,2.30943E-08,2.7E-14,0.1
